game_id,game_date,season,home_team_id,visitor_team_id,home_team_score,visitor_team_score,postseason,status
1037593,2023-10-24,2023,8,14,119,107,0,Final
1037594,2023-10-24,2023,10,24,104,108,0,Final
1037595,2023-10-25,2023,4,1,116,110,0,Final
1037596,2023-10-25,2023,12,30,143,120,0,Final
1037597,2023-10-25,2023,20,2,104,108,0,Final
1037598,2023-10-25,2023,22,11,116,86,0,Final
1037599,2023-10-25,2023,3,6,113,114,0,Final
1037600,2023-10-25,2023,16,9,103,102,0,Final
1037601,2023-10-25,2023,28,18,97,94,0,Final
1037602,2023-10-25,2023,5,21,104,124,0,Final
1037603,2023-10-25,2023,15,19,104,111,0,Final
1037604,2023-10-25,2023,29,26,114,130,0,Final
1037605,2023-10-25,2023,27,7,119,126,0,Final
1037606,2023-10-25,2023,13,25,123,111,0,Final
1037607,2023-10-26,2023,17,23,118,117,0,Final
1037608,2023-10-26,2023,14,24,100,95,0,Final
1037609,2023-10-27,2023,4,9,99,111,0,Final
1037610,2023-10-27,2023,15,8,104,108,0,Final
1037611,2023-10-27,2023,1,20,120,126,0,Final
1037612,2023-10-27,2023,2,16,119,111,0,Final
1037613,2023-10-27,2023,6,21,105,108,0,Final
1037614,2023-10-27,2023,5,28,104,103,0,Final
1037615,2023-10-27,2023,27,11,126,122,0,Final
1037616,2023-10-27,2023,7,3,125,120,0,Final
1037617,2023-10-27,2023,29,13,120,118,0,Final
1037618,2023-10-27,2023,25,22,97,102,0,Final
1037619,2023-10-27,2023,26,10,114,122,0,Final
1037620,2023-10-28,2023,9,5,118,102,0,Final
1037621,2023-10-28,2023,30,15,113,106,0,Final
1037622,2023-10-28,2023,19,20,96,87,0,Final
1037623,2023-10-28,2023,6,12,113,125,0,Final
1037624,2023-10-28,2023,28,23,107,114,0,Final
1037625,2023-10-28,2023,18,16,106,90,0,Final
1037626,2023-10-28,2023,24,29,126,104,0,Final
1037627,2023-10-29,2023,21,8,95,128,0,Final
1037628,2023-10-29,2023,11,10,95,106,0,Final
1037629,2023-10-29,2023,17,1,110,127,0,Final
1037630,2023-10-29,2023,23,25,126,98,0,Final
1037631,2023-10-29,2023,13,27,123,83,0,Final
1037632,2023-10-29,2023,26,14,132,127,0,Final
1037633,2023-10-30,2023,4,3,121,133,0,Final
1037634,2023-10-30,2023,12,5,105,112,0,Final
1037635,2023-10-30,2023,30,2,107,126,0,Final
1037636,2023-10-30,2023,1,18,127,113,0,Final
1037637,2023-10-30,2023,28,25,91,99,0,Final
1037638,2023-10-30,2023,15,7,110,125,0,Final
1037639,2023-10-30,2023,17,16,122,114,0,Final
1037640,2023-10-30,2023,19,10,102,130,0,Final
1037641,2023-10-30,2023,21,9,124,112,0,Final
1037642,2023-10-30,2023,8,29,110,102,0,Final
1037643,2023-10-30,2023,14,22,106,103,0,Final
1037644,2023-10-31,2023,6,20,91,109,0,Final
1037645,2023-10-31,2023,24,27,114,115,0,Final
1037646,2023-10-31,2023,13,22,118,102,0,Final
1037647,2023-11-01,2023,9,25,101,110,0,Final
1037648,2023-11-01,2023,28,17,130,111,0,Final
1037649,2023-11-01,2023,1,30,130,121,0,Final
