id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
1,Alex,Abrines,G,6-6,190,8,FC Barcelona,Spain,2013.0,2.0,32.0,21,OKC,Oklahoma City,Thunder,West,Northwest
2,Jaylen,Adams,G,6-0,225,10,St. Bonaventure,USA,,,,1,ATL,Atlanta,Hawks,East,Southeast
3,Steven,Adams,C,6-11,265,12,Pittsburgh,New Zealand,2013.0,1.0,12.0,11,HOU,Houston,Rockets,West,Southwest
4,Bam,Adebayo,C-F,6-9,255,13,Kentucky,USA,2017.0,1.0,14.0,16,MIA,Miami,Heat,East,Southeast
5,DeVaughn,Akoon-Purcell,G-F,6-5,201,44,Illinois State,Trinidad and Tobago,2016.0,,,8,DEN,Denver,Nuggets,West,Northwest
6,LaMarcus,Aldridge,F,6-11,250,21,University of Texas at Austin,USA,2006.0,1.0,2.0,3,BKN,Brooklyn,Nets,East,Atlantic
7,Rawle,Alkins,G,6-5,225,20,Arizona,USA,,,,5,CHI,Chicago,Bulls,East,Central
8,Grayson,Allen,G,6-3,198,8,Duke,USA,2018.0,1.0,21.0,24,PHX,Phoenix,Suns,West,Pacific
9,Jarrett,Allen,C,6-9,243,31,Texas,USA,2017.0,1.0,22.0,6,CLE,Cleveland,Cavaliers,East,Central
10,Al-Farouq,Aminu,F,6-8,220,5,Wake Forest,USA,2010.0,1.0,8.0,25,POR,Portland,Trail Blazers,West,Northwest
11,Justin,Anderson,G-F,6-5,231,10,Virginia,USA,2015.0,1.0,21.0,12,IND,Indiana,Pacers,East,Central
12,Kyle,Anderson,F,6-8,230,2,UCLA,USA,2014.0,1.0,30.0,29,UTA,Utah,Jazz,West,Northwest
13,Ryan,Anderson,F,6-10,240,31,California,USA,2008.0,1.0,21.0,19,NOP,New Orleans,Pelicans,West,Southwest
14,Ike,Anigbogu,C,6-10,262,13,UCLA,USA,2017.0,2.0,47.0,12,IND,Indiana,Pacers,East,Central
15,Giannis,Antetokounmpo,F,6-11,243,34,Filathlitikos,Greece,2013.0,1.0,15.0,17,MIL,Milwaukee,Bucks,East,Central
16,Kostas,Antetokounmpo,F,6-10,200,37,Dayton,Greece,2018.0,2.0,60.0,5,CHI,Chicago,Bulls,East,Central
17,Carmelo,Anthony,F,6-7,238,7,Syracuse,USA,2003.0,1.0,3.0,14,LAL,Los Angeles,Lakers,West,Pacific
